name,id,department,n_poong,p_poong,p/m
[NS남순],wnnw,기획,4313749,3624159,689590
SlowVita,kunbams,기획,5721,81251,-75530
쮸러스♥,churros05,기획,81294,2612,78682
로링♥,kchoij,기획,23291,0,23291
김학수,skygkrtn,기획,90756,272423,-181667
빵훈이,vlfvlf789,기획,292668,795597,-502929
최깨비,sunwo2534,기획,58205,128405,-70200
강민아°,1000song2,기획,251424,376888,-125464
날박,p0r0r0,기획,98727,207420,-108693
겸둥이,jyurim99,뮤직,258637,673732,-415095
♥져리♥,tlswlgus95,뮤직,53944,76934,-22990
안예슬띠,indy1028,뮤직,364684,394061,-29377
배그나,goodb99,뮤직,342152,309756,32396
빡다혜♥,dkjfke,뮤직,174153,150802,23351
미캣♥,jieujieun11,뮤직,106690,159399,-52709
믿고듣는다니,dani67,뮤직,106963,282885,-175922
진솔[美],ooo9330,뮤직,208075,334137,-126062
권도연♪,tpqhrdl,뮤직,107122,199792,-92670
지붕위소희,thwl9386,뮤직,180043,290916,-110873
백다연,ekdus0830,뮤직,54825,58615,-3790
안녕하소HASO,name1234,뮤직,2813,0,2813
[BJ]이솔아,dlgothf12,뮤직,5948,0,5948
˚설하˚,wendysul,엔터,165640,194404,-28764
깅예솔,yunhee1222,엔터,263164,257749,5415
류하♡,rrrr4719,엔터,247753,418641,-170888
뚜부♥,2boo2boo,엔터,83377,209388,-126011
♡도원♡,domangcha13,엔터,359668,732248,-372580
♡태리츄♡,taeri0806,엔터,83062,264440,-181378
눈또,lapq8306,엔터,157538,268158,-110620
[DM]퀸다미,damikim,엔터,114563,436007,-321444
아띠_♥,jha0331,엔터,207236,573157,-365921
♥설윤♥,rkdtnwls0718,엔터,12438,0,12438
츄릅쪼앙♥,hhy2124,엔터,8427,0,8427
